idx,query,text
19222,best YouTube video,"My ferret used to things like that too. She would bring her babies to me, dump them all in my lap and go and hide somewhere and sleep for an hour, which I totally understand now that I'm a mum!  
Or she would take a couple to wherever she wanted them but then get tired so she would bring the next one to me and make me follow her and take her babies wherever she wanted them so she didn't have to keep going back and forth carrying all the babies. She was so loving and trusting, I miss her so much"
67062,best places to skydive in california,"Absolutely they will.  I was put into a practice harness where I was able to see how hard I could pull the control cords and how to untangle possible chute line crosses.  

They would drill me on how to do certain things and I'd have to respond as quickly as I could.

They taught me a bunch of hand signals where they could easily communicate with me if I needed to extend my legs more or less, alter any part of my body during descent.

Also, I had a radio in my ear where they could tell me what to do should I start doing something dumb.  lol"
49386,best gaming monitor,"Acer XB271HU. 2560x1440 144 Hz IPS panel, OC to 165, comes with G-Sync."
66701,best soccer team in the world,"good point. just this week you'll have sucic and stanisic making their u21s debuts, kids born and developed in Austria and Germany."
58082,best cologne,Dior Sausage is one of my absolute favorites. There's another one I got in Colombia years ago that I haven't been able to find -- Dendur Zero
67905,best science fiction novel,"Childhood's End should have made the list, I think."
13742,best research paper archive,"First paper that came to mind for me as well.  Not only is the paper critically important, but it can be understood by anyone at all by just following the simple logic.  It restructured the world of physics with what amounts essentially to a thought experiment and clear, elegant method."
63002,Best online React course,"I started with minimal JavaScript experience, and followed this course: https://www.udemy.com/react-the-complete-guide-incl-redux/

By the end of the course I was able to make a react front end application fairly easily.
https://github.com/deranjer/goTorrent"
46728,best hand santizer brand,"I’ve been wanting to try that, especially for those annoyingly painful finger and thumb tip ‘splits’ I get in the wintertime. Any tips for prep/application? How about toxicity, is it considered “safe”?"
39438,best web browser,"I'm changing my opinion every couple of years about that question.

I was using FF until end of last year, but it was sucking up so much memory that I stopped.

I'm now using Brave (Chrome based), which also uses quite a bit of memory, but not as much as FF."
33906,best Pokemon game,"The best ones in the series imo is HeartGold/SoulSilver, OmegaRuby/AlphaSapphire, FireRed/LeafGreen, and Black2/White2.

Which version you play of each gen doesn't matter, the only thing thats different is that some Pokemon can be exclusively caught in a certain version, which is only a problem if you plan to 100% the game."
71181,best movies with a cool twist,"Check out Gone Girl, Fractured and Knives Out. All great films with twists and turns in them similar to the ones you’ve mentioned"
8245,best toothpaste,"Best post in this thread.  Granted, dentists are probably the WORST people to ask for oral care.  That would be like asking a mechanic to recommend an oil for long engine life.  They're technicians, not researchers.  The fact that everyone here says ""toothpaste doesn't matter"" confirms this in my eyes.  

Xylitol kills bacteria that cause cavities (caries).  There are so many studies that have shown significant decreases in cavities after xylitol administration (gummy bears, gum, etc):

http://jdr.sagepub.com/content/92/6/512

http://www.massdental.org/uploadedFiles/5_Publications/Journal/Summer_2011/S11_Xylitol.pdf

I remember reading one study showing it worked better than fluoride at cavity prevention.  I can't seem to find it right now, but if I do I will post it."
49349,best gaming monitor,$530 seems like a lot compared to a lot of the other monitors around that level
6565,best Netflix documentary,This was super good! I couldn’t help but laugh at the ridiculousness of some of the perspectives throughout the documentary but all in all it really was amazing
47329,best state to visit in the United States,"Love for Philly from a New Yorker, nice!"
45769,best trick or treating candy,"Best?: all kinds...
Worst?: Good n' Plenty.... Because it masquerades like it's real candy, but it's really just poison."
67816,axios alternatives reddit,I use node-fetch and I don't have experience with Axios. What is the advantage?
51207,best rap album,"its up there, certainly wasnt his worst though smh"
6568,best Netflix documentary,These are all great docs! Searching for Sugar Man was amazing just wish it was longer than it was haha. Definitely the shortest documentary I’ve watched.
7235,best iPhone,"I love my iPhone XR but nope. Buy a IPhone 11 for almost the same price. Ultra wide camera is really nice to have, I miss it (had a LG before). But you don’t get nightshots on XR. The camera is just ok really."
41037,best instrument to play,"Guitar is easier than piano in that transposition doesn’t require you to memorize entirely new fingering patterns. The downside is that finger go ouchie sometimes. 

I think uke is harder than guitar even though finger no go ouchie because the tuning goes down a fifth, up a third, then up a fourth, which makes it waaaay more confusing to learn scales and intervals, whereas guitar is up fourths, up a third, then up another fourth."
18102,best Kardashian,"Kim is SO kind. Ran into her a couple times at a restaurant and have family friends that know her and always defend her. She truly is a great person. She is also TINY IRL. Like 5 feet tall and her body doesn’t look nearly as disproportionate as it does in photos. She was insanely tan as well! Lol  but yeah, Genuinely a great woman with a huge heart. Loves her fans and understands her life is public and has no problem with that. She knows it took fans to get where she is. Kourt on the other hand... lol 

Kourtney has kids that go to my cousin’s school. As we saw in this last season, she hates the fame and can get really upset about all the attention. She yelled at one of the parents at a bday party at a pumpkin patch because she thought they were taking pics of her. Maybe they were, maybe they weren’t... point is she’s super bothered by the attention she gets and can be quite hostile about it. 

Idk if she understands that Poosh wouldnt exists without KUWTK. She needs to humble herself. There is no such thing as privacy anymore. You capitalized on being “yourself” and your lifestyle. If you want to keep that lifestyle, you have to continue to share 🤷🏼‍♀️That just is what it is"
3366,best webcamera,"I have both the 270 and a 920 and for the most part they are both very nice cameras.

I noticed the 270 takes a more zoomed in picture than the 920 does when they are side by side on top of the same monitor

I think the 270 is a great starter cam"
70643,best movies with a cool twist,Up vote for Moon. Highly underrated.
